,Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
1840,s1841,TV Show,Someone Has to Die,Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira","Mexico, Spain","October 16, 2020",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","In Conservative 1950S Spain, The Alleged Relationship Between A Young Man And A Mexican Ballerino Creates An Uproar Of Harrowing Consequences."
1841,s1842,TV Show,The Last Kids on Earth,"Raúl Campos, Jan Suter","Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",United States,"October 16, 2020",2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies","When Zombies And Monsters Invade His Hometown, A Scrappy 13-Year-Old Orphan Teams Up With His Friends In Hopes Of Surviving The Chaos."
1842,s1843,Movie,The Trial of the Chicago 7,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman","United States, United Kingdom, India","October 16, 2020",2020,R,130 min,Dramas,What Was Supposed To Be A Peaceful Protest Turned Into A Violent Clash With The Police. What Followed Was One Of The Most Notorious Trials In History.
1843,s1844,Movie,Unfriended,Levan Gabriadze,"Shelley Hennig, Moses Storm, Renee Olstead, Will Peltz, Jacob Wysocki, Courtney Halverson, Heather Sossaman, Matthew Bohrer, Mickey River, Cal Barnes","United States, Russia","October 16, 2020",2014,R,83 min,"Horror Movies, Thrillers",Six Teens Whose Cyberbullying Drove Their Classmate To Kill Herself Become The Target Of An Online Stalker With A Lethal Agenda.
1844,s1845,Movie,A Babysitter's Guide to Monster Hunting,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",United States,"October 15, 2020",2020,TV-PG,99 min,Children & Family Movies,"Recruited By A Secret Society Of Babysitters, A High Schooler Battles The Boogeyman And His Monsters When They Nab The Boy She'S Watching On Halloween."
1845,s1846,Movie,Batman: The Killing Joke,Sam Liu,"Kevin Conroy, Mark Hamill, Tara Strong, Ray Wise, John DiMaggio, Robin Atkin Downes, Brian George, JP Karliak, Andrew Kishino, Nolan North",United States,"October 15, 2020",2016,R,77 min,Action & Adventure,The Joker Makes Life Hell For The Gordon Family In A Monstrous Attempt To Prove To Batman That One Bad Day Can Drive A Good Man To Madness.
1846,s1847,Movie,El-Khawaga's Dilemma,Peter Mimi,"Hassan El Raddad, Mohamed Lotfy, Hana El Zahed, Hassan Hosny, Majed El Masry, Mohamed Ezz, Samia Trabelsi, Yasser Al Zankalouni, Ahmed El Sobky, Bayoumi Fouad",Egypt,"October 15, 2020",2018,TV-14,94 min,"Action & Adventure, Comedies, International Movies","After A Car Crash, Sparks Fly For A Financially Struggling Man And The Daughter Of A Business Tycoon, Unraveling Dark Secrets And Loose Ends."
1847,s1848,TV Show,Fireman Sam,"Raúl Campos, Jan Suter","Steven Kynman, David Carling, Tegwen Tucker, Su Douglas, Andrew Hodwitz, Dave Pender, Lily Cassano, Carter Treneer, Sarah Lynn Strange",United Kingdom,"October 15, 2020",2018,TV-Y,4 Seasons,"British TV Shows, Kids' TV","Sharing Valuable Lessons In Fire Safety For Preschoolers, Fireman Sam And His Animated Crew From Pontypandy, Wales, Are Ready For Any Emergency."
1848,s1849,TV Show,Half & Half,"Raúl Campos, Jan Suter","Rachel True, Essence Atkins, Telma Hopkins, Chico Benymon, Valarie Pettiford, Alec Mapa",United States,"October 15, 2020",2005,TV-14,4 Seasons,TV Comedies,"After Two Estranged Half-Sisters In Their Twenties Find Their Lives Suddenly Entwined, They Grow Closer As They Get To Know More About Each Other."
1849,s1850,Movie,Kartini: Princess of Java,Hanung Bramantyo,"Dian Sastrowardoyo, Ayushita, Acha Septriasa, Deddy Sutomo, Christine Hakim, Djenar Maesa Ayu, Denny Sumargo, Adinia Wirasti, Reza Rahadian","Indonesia, Netherlands","October 15, 2020",2017,TV-PG,118 min,"Dramas, International Movies",A Woman Of Nobility Battles Patriarchal Norms In Order To Improve Educational Access For Women In Early 1900S Indonesian Society.
1850,s1851,Movie,Love Like the Falling Rain,Lasja Fauzia Susatyo,"Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",Indonesia,"October 15, 2020",2020,TV-14,87 min,"Dramas, International Movies, Romantic Movies","Fearing Rejection, A Young Man Struggles To Declare His Feelings For His Best Friend, Who Soon Falls For Another Man — Until A Fateful Incident."
1851,s1852,TV Show,One on One,"Raúl Campos, Jan Suter","Flex Alexander, Kyla Pratt, Kelly Perine, Sicily Johnson, Robert Ri'chard",United States,"October 15, 2020",2006,TV-14,5 Seasons,"TV Comedies, Teen TV Shows","When His Ex-Wife Lands A Job Abroad, Athlete-Turned-Sportscaster Flex Washington Assumes Full-Time Custody Of Their Teenage Daughter, Breanna."
1852,s1853,TV Show,Power Rangers Beast Morphers,"Raúl Campos, Jan Suter","Rorrie D. Travis, Jazz Baduwalia, Jacqueline Scislowski, Abraham Rodríguez, Teuila Blakely, Kristina Ho, Cosme Flores, Kevin Copeland",United States,"October 15, 2020",2020,TV-Y7,2 Seasons,Kids' TV,A New Breed Of Secret Agents Must Stop A Ruthless Computer Virus And Its Minions From Stealing The Unlimited Clean Energy Source That Created Them.
1853,s1854,Movie,Rooting for Roona,"Pavitra Chalam, Akshay Shankar",Unknown,India,"October 15, 2020",2020,TV-PG,42 min,"Documentaries, International Movies","In Rural India, A Child With Hydrocephalus Gets A Chance At Life-Changing Surgery After Her Photos Go Viral. This Documentary Charts Her Journey."
1854,s1855,TV Show,Social Distance,"Raúl Campos, Jan Suter","Danielle Brooks, Oscar Nuñez, Mike Colter, Heather Burns, Okieriete Onaodowan, Ajay Naidu, Shakira Barrera, Steven Weber, Helena Howard, Daphne Rubin-Vega, Guillermo Díaz, Miguel Sandoval, Camila Perez, Gianna Aragon, Tom Costanzo, Luca Costanzo, Olli Haaskivi, Marsha Stephanie Blake, Isabella Ferreira, Rocco Luna, Larita Brooks, Misha Brooks, Liam Foley, Zoë Verbil, Anthony Norman, Brian Jordan Alvarez, Max Jenkins, Peter Vack, Rana Roy, Peter Scanavino, Ali Ahn, Tami Sagher, Barbara Rosenblat, Michael Mulheren, Leo Bai-Scanavino, Becky Ann Baker, Dylan Baker, Marcia DeBonis, Raymond Anthony Thomas, Sunita Mani, Kylie Liya Page, David Iacono, Lachlan Riley Watson, Niles Fitch, Will Meyers, Ava DeMary, Lydia Look, Asante Blackk, Ayize Ma'at, Lovie Simone",United States,"October 15, 2020",2020,TV-MA,1 Season,"TV Comedies, TV Dramas","Filmed In Isolation, This Narrative Anthology Series Features Both Dark And Funny Takes On How People Strive To Stay Connected While Staying Apart."
1855,s1856,Movie,A Choo,"Kevin Ko, Peter Tsi","Kai Ko, Ariel Lin, Darren Wang, Zhang Xiaolong, Louis Koo, Vanness Wu, Kate Tsui",Taiwan,"October 14, 2020",2020,TV-14,101 min,"Action & Adventure, International Movies, Romantic Movies","Determined To Win The Heart Of His Childhood Crush From Orphanage, Ej Becomes A Boxer With Superpowers And Soon Confronts A Formidable Villain."
1856,s1857,Movie,BLACKPINK: Light Up the Sky,Caroline Suh,Blackpink,United States,"October 14, 2020",2020,TV-14,80 min,"Documentaries, Music & Musicals",Record-Shattering Korean Girl Band Blackpink Tell Their Story — And Detail The Hard-Fought Journey Of The Dreams And Trials Behind Their Meteoric Rise.
1857,s1858,Movie,The Three Deaths of Marisela Escobedo,Carlos Pérez Osorio,Unknown,Mexico,"October 14, 2020",2020,TV-MA,110 min,"Documentaries, International Movies",This Documentary Examines A Mother'S Tireless Crusade To Jail Her Daughter'S Murderer After Mexico'S Justice System Failed To Do So.
1858,s1859,Movie,Fida,Ken Ghosh,"Fardeen Khan, Kareena Kapoor, Shahid Kapoor, Kim Sharma, Akhilendra Mishra",India,"October 13, 2020",2004,TV-14,117 min,"International Movies, Romantic Movies, Thrillers",An All-Around Nice Guy Finds Himself In A Dangerous Situation After He Makes The Ultimate Sacrifice For The Woman He Loves In This Drama.
1859,s1860,Movie,Octonauts & the Great Barrier Reef,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",United Kingdom,"October 13, 2020",2020,TV-Y,47 min,Children & Family Movies,"In This Musical Special, The Octonauts Must Find A Way To Hold Back Hungry Swarms Of Coral-Eating Starfish To Save A New Friend’S Fragile Reef Home."
1860,s1861,TV Show,The Cabin with Bert Kreischer,"Raúl Campos, Jan Suter","Bert Kreischer, Anthony Anderson, Caitlyn Jenner, Tom Segura, Joey Diaz, Nikki Glaser, Fortune Feimster, Bobby Lee, Donnell Rawlings, Kaley Cuoco, Joel McHale, Ms. Pat, Deon Cole, Big Jay Oakerson",United States,"October 13, 2020",2020,TV-MA,1 Season,"Reality TV, TV Comedies","Fast-Living Comic Bert Kreischer Heads To A Cabin For Some Self-Care And Invites His Funny Friends To Join His Quest To Cleanse His Mind, Body And Soul."
1861,s1862,Movie,Dil,Indra Kumar,"Aamir Khan, Madhuri Dixit, Saeed Jaffrey, Deven Verma, Anupam Kher, Shammi, Padma Rani, Rajesh Puri, Satyendra Kapoor",India,"October 12, 2020",1990,TV-14,165 min,"Comedies, Dramas, International Movies",A Miser’S Scheme To Set His Son Up With A Millionaire’S Daughter Backfires When The Two Actually Fall In Love — Just As His Sly Charade Is Revealed.
1862,s1863,Movie,Disco Dancer,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,"October 12, 2020",1982,TV-14,134 min,"Cult Movies, Dramas, International Movies","A Poor Boy Grows Up To Be A Famous Disco Dancer, Hoping To Use His Art To Exact Revenge On The Millionaire Who Once Framed Him And His Mother For Theft."
1863,s1864,Movie,Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",India,"October 12, 2020",2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies",A Sex-Obsessed Young Man Tries To Put His Past Behind Him When He Falls For An Extraordinary Woman Who Makes Him Want To Change His Lifestyle.
1864,s1865,TV Show,Kipo and the Age of Wonderbeasts,"Raúl Campos, Jan Suter","Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",United States,"October 12, 2020",2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies","Making Her Way Through A World Of Mutant Animals, A Sheltered Yet Scrappy Girl Learns How To Survive – And Get Home – With Help From Her Ragtag Crew."
1865,s1866,Movie,Phir Hera Pheri,Neeraj Vora,"Akshay Kumar, Sunil Shetty, Paresh Rawal, Bipasha Basu, Rimi Sen, Johny Lever, Manoj Joshi, Rajpal Yadav, Sharat Saxena, Suresh Menon",India,"October 12, 2020",2006,TV-14,150 min,"Comedies, International Movies","Driven By Greed, Three Rich Friends Seek To Double Their Wealth And Find Themselves Indebted To A Ruthless Gangster."
1866,s1867,Movie,The Legend of Bhagat Singh,Rajkumar Santoshi,"Ajay Devgn, Sushant Singh, D. Santosh, Akhilendra Mishra, Raj Babbar, Farida Jalal, Amrita Rao, Mukesh Tiwari",India,"October 12, 2020",2002,TV-14,156 min,"Dramas, International Movies","This Biopic Chronicles The Life And Times Of Iconic Indian Revolutionary Bhagat Singh, Who Led An Armed Resistance Against The British In The 1920."
1867,s1868,Movie,House of the Witch,Alex Merkin,"Emily Bader, Darren Mann, Michelle Randolph, Coy Stewart, Jesse Pepe, Arden Belle, Joel Nagle, Nolan Bateman",United States,"October 11, 2020",2017,TV-MA,86 min,Horror Movies,A Group Of Daring Teens Finds Themselves In A Fight For Their Lives Inside A Haunted House When A Sinister Spirit Crashes Their Halloween Party.
1868,s1869,TV Show,Deaf U,"Raúl Campos, Jan Suter",Unknown,United States,"October 9, 2020",2020,TV-MA,1 Season,Docuseries,"In This Reality Series, A Tight-Knit Group Of Deaf And Hard Of Hearing Students Share Their Stories And Explore Life At Gallaudet University."
1869,s1870,Movie,Ginny Weds Sunny,Puneet Khanna,"Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta",India,"October 9, 2020",2020,TV-MA,126 min,"Comedies, International Movies, Romantic Movies","Eager To Marry But Constantly Rejected By Women, A Bachelor Hopes To Win Over A Former Crush By Accepting Help From An Unlikely Source: Her Mother."
1870,s1871,Movie,My Step Dad: The Hippie,Meltem Bozoflu,"Onur Buldu, Mahir İpek, Derya Karadaş, Onur Attila, Meltem Yılmazkaya, Yasemin Conka, Burak Topaloglu, Sefik Taylan, Orkun Karagöz, Erdogan Aydin","Turkey, South Korea","October 9, 2020",2018,TV-MA,100 min,"Comedies, International Movies","When Three Adult Siblings Meet The Offbeat Man Who Their Widowed Mom Fawns Over, They Take Drastic Actions To Stop Them From Ever Getting Married."
1871,s1872,Movie,Super Monsters: Dia de los Monsters,"Raúl Campos, Jan Suter",Unknown,Canada,"October 9, 2020",2020,TV-Y,25 min,Children & Family Movies,"The Super Monsters Celebrate Día De Los Muertos In Vida’S Hometown With Her Magical Family, Some New Monster Friends And A Spook-Tacular Parade!"
1872,s1873,Movie,The Forty-Year-Old Version,Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",United States,"October 9, 2020",2020,R,124 min,"Comedies, Dramas, Independent Movies","Desperate For A Breakthrough As She Nears The Big 4-0, Struggling New York City Playwright Radha Finds Inspiration By Reinventing Herself As A Rapper."
1873,s1874,TV Show,The Haunting of Bly Manor,"Raúl Campos, Jan Suter","Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Benjamin Evan Ainsworth",United States,"October 9, 2020",2020,TV-MA,1 Season,"TV Dramas, TV Horror, TV Mysteries","Dead Doesn'T Mean Gone. An Au Pair Plunges Into An Abyss Of Chilling Secrets In This Gothic Romance From The Creator Of ""The Haunting Of Hill House."""
1874,s1875,Movie,Bigflo & Oli: Hip Hop Frenzy,"Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,France,"October 8, 2020",2020,TV-MA,100 min,"Documentaries, International Movies, Music & Musicals","Go Backstage With French Rap Duo Bigflo & Oli In This Intimate Music Documentary, Then Join The Superstar Siblings As They Embark On A Major Tour."
1875,s1876,TV Show,Do Do Sol Sol La La Sol,"Raúl Campos, Jan Suter","Go A-ra, Lee Jae-wook, Kim Ju-hun, Ye Ji-won, Lee Soon-jae, Shin Eun-soo, Seo Yi-sook",South Korea,"October 8, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A Riches-To-Rags Pianist Who Loses Everything But Her Smile Is Guided By Twinkling Little Stars To A Small Town Where She Finds Hope, Home And Love."
1876,s1877,Movie,Palermo Hollywood,Eduardo Pinto,"Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía",Argentina,"October 8, 2020",2004,TV-MA,106 min,"Dramas, International Movies",A Pair Of Petty Criminals From Different Backgrounds Get Tangled Up In A Gangster'S Kidnapping Scheme That Goes Awry.
1877,s1878,TV Show,Private Lives,"Raúl Campos, Jan Suter","Seohyun, Ko Kyung-pyo, Kim Hyo-jin, Kim Young-min, Tae Won-seok, Song Sun-mi, Park Seong-geun, Jang Jin-hee, Yoon Sa-bong, Lee Hak-ju, Song Sang-eun, Jang Won-hyeok, Yoo Hee-je, Min Zio, Kim Min-sang, Kim Ba-da, Cha Soo-yeon",South Korea,"October 8, 2020",2020,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","In A World Where Data Is No Longer Private, Con Artists Uncover A Sinister Surveillance Scheme Headed By The Government And A Greedy Corporation."
1878,s1879,TV Show,The 100,"Raúl Campos, Jan Suter","Eliza Taylor, Paige Turco, Bob Morley, Marie Avgeropoulos, Christopher Larkin, Henry Ian Cusick, Isaiah Washington, Lindsey Morgan, Devon Bostick, Richard Harmon, Ricky Whittle, Jarod Joseph, Chelsey Reist, Sachin Sahel, Adina Porter","United States, Canada","October 8, 2020",2020,TV-MA,7 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","A Century After Earth Was Devastated By A Nuclear Apocalypse, 100 Space Station Residents Are Sent To The Planet To Determine Whether It'S Habitable."
1879,s1880,Movie,Hubie Halloween,Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",United States,"October 7, 2020",2020,PG-13,104 min,"Comedies, Horror Movies","Hubie'S Not The Most Popular Guy In Salem, Mass., But When Halloween Turns Truly Spooky, This Good-Hearted Scaredy-Cat Sets Out To Keep His Town Safe."
1880,s1881,TV Show,To the Lake,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Russia,"October 7, 2020",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","Facing The End Of Civilization When A Terrifying Plague Strikes, A Group Risks Their Lives, Loves — And Humanity — In A Brutal Struggle To Survive."
1881,s1882,Movie,American Pie 9: Girls' Rules,Mike Elliott,"Madison Pettis, Lizze Broadway, Piper Curda, Natasha Behnam, Darren Barnet, Sara Rue, Zachary Gordon, Camaron Engels, Christian Valderrama, Zayne Emory",United States,"October 6, 2020",2020,R,96 min,Comedies,Four Tight-Knit High School Seniors Vow To Turn Their Love Lives Around By Homecoming When The Arrival Of A New Student Muddles Their Plans.
1882,s1883,Movie,Dolly Parton: Here I Am,Francis Whately,Dolly Parton,United Kingdom,"October 6, 2020",2019,TV-14,90 min,"Documentaries, Music & Musicals","Dolly Parton Leads A Moving, Musical Journey In This Documentary That Details The People And Places Who Have Helped Shape Her Iconic Career."
1883,s1884,Movie,StarBeam: Halloween Hero,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",Canada,"October 6, 2020",2020,TV-Y,33 min,Children & Family Movies,"Greedy Captain Fishbeard Is Stealing Everybody'S Halloween Treats For Himself, But Starbeam And Boost Have Some Tricks Up Their Sleeves To Save The Day!"
